,First_max,First_min,Second_max,Second_min,First_distance,Second_distance,Third_distance,mean,stdSpe,type
28,9.1253,7.3313,6.6752,2.6785,-3,-1,-4,6.8483,0.55416,0
29,14.3657,11.614,10.7616,7.0395,-4,-1,-5,11.6546,0.63517,0
30,9.5749,8.6076,8.0867,7.7828,-2,-2,-4,8.4487,0.29408,0
31,12.675,7.7904,6.9724,5.0838,-9,-1,-10,9.2731,1.8237,0
32,21.7744,20.6132,18.1119,15.4497,-2,-1,-3,20.0982,1.3675,0
33,15.1374,3.6549,1.7005,-20.6579,-9,-1,-10,8.2948,4.4873,0
34,9.7607,2.1717,5.477,6.7653,-6,-5,-11,5.0761,2.5412,0
35,10.0729,5.4644,5.1879,6.9671,-4,-1,-5,6.3142,1.5082,0
36,16.0352,14.4816,14.1444,-3.7612,-2,-1,-3,14.7044,0.7371,0
37,24.5503,18.1985,16.9107,-19.2022,-6,-1,-7,19.4695,2.1085,0
38,12.9354,10.3617,9.6186,9.6977,-3,-1,-4,10.8303,1.206,0
39,7.8786,4.2032,3.5819,3.0964,-5,-1,-6,5.2816,1.5377,0
40,6.4966,-3.0177,1.3564,-4.0851,-7,-6,-13,0.53303,2.622,0
41,12.3049,6.9692,6.7796,3.8296,-6,-2,-8,7.813,1.6931,0
42,13.5015,10.6913,11.9354,12.1769,-5,-3,-8,11.3783,0.9803,0
43,15.7069,9.2096,6.9007,0.8102,-10,-1,-11,10.8855,2.9319,0
44,7.0,4.1532,5.0039,3.0426,-6,-3,-9,4.9285,1.2079,0
45,6.9927,0.63808,-0.28973,-3.7517,-12,-1,-13,2.8137,2.2513,0
46,9.0997,3.8509,4.6649,5.1004,-7,-3,-10,5.3248,1.8294,0
47,8.6631,0.58001,-0.81999,-1.494,-5,-1,-6,3.3783,3.6121,0
48,7.0825,-6.1658,-4.1377,-5.4622,-19,-4,-23,-1.2332,4.3002,0
49,5.7582,4.6768,4.2481,-0.1688,-4,-1,-5,4.7468,0.33788,0
50,9.361,1.2019,0.97683,-5.1542,-8,-2,-10,3.9789,3.2038,0
51,8.5588,5.952,6.3785,2.2108,-7,-3,-10,6.623,0.92391,0
52,9.3048,-0.47903,5.4495,-0.18981,-6,-5,-11,3.489,2.8647,0
53,8.6401,1.2164,4.468,-4.7224,-9,-6,-15,4.1006,2.4686,0
54,8.7885,8.2898,6.3189,4.2986,-5,-1,-6,7.8695,0.72312,0
55,11.5695,2.4639,4.0363,4.1187,-10,-3,-13,4.5628,2.7913,0
56,10.186,-2.1188,-2.6709,-3.0964,-14,-1,-15,3.2401,4.7161,0
57,13.4606,9.5551,10.6758,11.2817,-7,-5,-12,10.7802,1.2646,0
58,17.1099,2.1583,5.4386,4.8946,-11,-7,-18,6.0064,3.8804,0
59,8.7949,5.715,6.2252,6.3967,-4,-3,-7,6.6596,0.95549,0
60,13.3807,6.687,6.9182,1.5312,-10,-2,-12,8.4494,2.031,0
61,13.3588,-5.2196,10.7234,11.1807,-16,-17,-33,2.6032,5.5045,0
62,11.8806,10.9462,11.0193,0.21762,-3,-2,-5,10.9853,0.40232,0
63,12.0297,10.1057,9.9447,9.215,-4,-2,-6,10.3279,0.72178,0
64,9.85,6.6673,7.8829,8.4986,-4,-5,-9,7.6954,0.97245,0
65,18.2837,6.1601,6.0301,4.2018,-14,-1,-15,11.0427,4.4792,0
66,14.6683,14.4014,13.3782,9.8367,-2,-1,-3,14.0876,0.50438,0
67,24.7019,-1.0047,-1.0903,0.17577,-19,-3,-22,9.633,9.7546,0
68,25.5272,19.8077,18.2439,18.3865,-6,-1,-7,21.0362,2.1359,0
69,10.3435,8.869,7.8121,6.9983,-2,-1,-3,8.6855,0.78695,0
70,33.5759,-10.5799,13.3739,-34.7874,-11,-11,-22,5.0117,12.0162,3
71,30.2623,-16.6224,19.0818,-34.3866,-14,-11,-25,0.88979,14.5504,3
72,30.5426,-21.4312,12.6484,-34.7655,-15,-9,-24,-2.6677,14.5817,3
73,30.3429,-16.8021,16.1414,-34.9752,-15,-10,-25,-0.72256,14.7172,3
74,28.5783,-16.0245,14.1137,-35.4246,-16,-9,-25,-0.47767,14.9651,3
75,27.7064,-22.0381,8.0149,-34.8757,-14,-9,-23,-3.0273,13.6725,3
76,29.3918,-19.9381,8.2054,-34.871,-14,-9,-23,0.44446,14.2759,3
77,32.7952,-13.6123,14.6229,-35.6244,-11,-9,-20,3.5805,12.5632,3
78,29.5738,-19.901,13.9066,-35.6,-13,-11,-24,0.5506,13.9007,3
79,30.7579,-17.6699,11.5269,-35.4185,-14,-10,-24,1.35,14.4674,3
80,29.9703,-18.6787,17.7081,-34.5944,-14,-11,-25,2.8096,14.8534,3
81,27.5945,-24.2543,11.8878,-34.1968,-17,-11,-28,-3.8424,15.5877,3
82,28.7313,-13.2519,13.5737,-35.1944,-10,-8,-18,3.081,11.5222,3
83,29.2391,-8.4023,15.3179,-34.5552,-11,-8,-19,4.4335,11.8245,3
84,30.0292,-18.5636,10.8359,-35.4347,-13,-8,-21,-0.53729,13.5207,3
85,28.0331,-18.112,10.9626,-34.2692,-13,-10,-23,-0.25941,13.3416,3
86,29.2731,-19.1527,6.5258,-34.4625,-13,-8,-21,-1.1938,13.2991,3
87,30.2539,-16.739,13.6809,-34.078,-12,-10,-22,2.9951,13.3774,3
88,36.9762,-35.933,35.1162,-33.7405,-35,-33,-68,0.0089722,26.2154,3
89,26.0942,-7.0458,15.2779,-34.7597,-10,-8,-18,5.8961,10.9914,3
90,25.1216,-16.9741,17.4816,-35.1242,-11,-13,-24,2.7296,13.2881,3
91,29.3004,-9.0926,19.4337,-35.5856,-10,-11,-21,7.4809,11.8722,3
92,27.9733,-22.6912,9.5904,-33.4571,-15,-9,-24,-3.5162,14.2513,3
93,33.071,32.4581,32.4262,28.4465,-1,-2,-3,32.5134,0.13926,3
94,30.6716,-19.9283,9.4525,-34.3113,-14,-10,-24,-1.5231,13.8668,3
95,30.5379,-18.7439,14.583,-35.1967,-13,-10,-23,1.1385,13.9391,3
96,32.5048,-15.0971,17.7811,-35.2125,-13,-10,-23,3.8351,14.2337,3
97,37.1626,-34.2932,24.0472,-33.5795,-32,-19,-51,-5.3052,23.5791,3
